Column1,iso,country,value,total,continent
0,AGO,Armenia,5.7,4.87227E+11,Europe
1,ALB,Austria,4.556850913,1.55267E+12,Europe
2,ARE,Azerbaijan,5.600037273,4.80368E+11,Asia
3,ARG,Belize,15.22613065,5.94104E+11,North America
4,ARM,British Virgin Islands,5.843934342,1.60898E+12,North America
5,AUS,Canada,4.540887309,1.98834E+12,North America
6,AUT,China,8.109792581,1.77341E+13,Asia
7,AZE,France,6.816589136,2.95788E+12,Europe
9,BEL,Germany,2.626987267,4.25993E+12,Europe
10,BFA,India,8.681228731,3.1763E+12,Asia
11,BGD,Indonesia,3.691240112,1.18609E+12,Asia
12,BGR,Ireland,13.58824711,5.04183E+11,Europe
13,BHR,Israel,8.611990348,4.88527E+11,Asia
14,BIH,Italy,6.737277123,2.1077E+12,Europe
15,BLR,Japan,1.657071117,4.94088E+12,Asia
16,BOL,Mexico,4.720565298,1.27284E+12,North America
17,BRA,Netherlands,4.863219149,1.01285E+12,Europe
18,BRB,Norway,3.880936036,4.82175E+11,Europe
19,BTN,Poland,6.847713362,6.79445E+11,Europe
20,BWA,Russian Federation,4.7495841,1.77878E+12,Europe
21,CAN,Saudi Arabia,3.240929768,8.33541E+11,Asia
22,CHE,Spain,5.519594973,1.42738E+12,Europe
23,CHL,Sweden,5.075084725,6.35664E+11,Europe
24,CHN,Switzerland,4.221716577,8.0064E+11,Europe
25,CMR,Thailand,1.533835584,5.05947E+11,Asia
26,COL,Turkiye,11.35349641,8.19035E+11,Asia
27,CRI,United Kingdom,7.524910374,3.13138E+12,Europe
28,CYP,United States,5.945484761,2.33151E+13,North America
