imports,year
27.76107111,1960
28.5754492,1961
28.215671,1962
31.51326932,1963
32.80220315,1964
36.6002682,1965
39.84194789,1966
40.59059187,1967
43.24804072,1968
48.3506066,1969
50.59548181,1970
47.37892833,1971
51.92454165,1972
50.23860522,1973
51.09473976,1974
42.43745128,1975
37.73410531,1976
25.49606676,1977
18.94591561,1978
11.09182461,1979
0.294089867,1980
-7.793724529,1981
-15.85933094,1982
-22.63269592,1983
-7.929851356,1984
-18.61358225,1985
-21.32033306,1986
-17.8577414,1987
-12.7954787,1988
-1.000834609,1989
-1.007999989,1990
-0.849830713,1991
-1.318292605,1992
-4.24104824,1993
-13.25833218,1994
-19.03416962,1995
-19.16892781,1996
-22.32726936,1997
-22.75576183,1998
-26.80621991,1999
-22.21181318,2000
-17.24190753,2001
-18.017382,2002
-10.71813037,2003
-1.706573508,2004
7.861983332,2005
14.70555456,2006
16.55018289,2007
19.82312494,2008
19.11991506,2009
26.57049679,2010
30.84123199,2011
39.18082886,2012
42.32391729,2013
39.67463181,2014
34.62999027,2015
..,
..,
..,
..,
..,
..,
